sample	date	site	experiment	experiment_1	experiment_2	experiment_3	experiment_4	core	distance	depth	DNA_cDNA	name	sample_name
Jul24_CB_core_2_100_cDNA_AV4V5_trimmed	24-Jul	CB	temporal	temporal	no	other	OK	2	100	100	cDNA	Jul24_CB_2_100_cDNA_AV4V5	Jul24_CB_2_100
Jul24_CB_core_2_100_DNA_AV4V5_trimmed	24-Jul	CB	temporal	temporal	no	other	OK	2	100	100	DNA	Jul24_CB_2_100_DNA_AV4V5	Jul24_CB_2_100
Jul24_CB_core_2_125_cDNA_AV4V5_trimmed	24-Jul	CB	temporal	temporal	no	other	OK	2	125	125	cDNA	Jul24_CB_2_125_cDNA_AV4V5	Jul24_CB_2_125
Jul24_CB_core_2_125_DNA_AV4V5_trimmed	24-Jul	CB	temporal	temporal	no	other	OK	2	125	125	DNA	Jul24_CB_2_125_DNA_AV4V5	Jul24_CB_2_125
Jul24_CB_core_2_150_cDNA_AV4V5_trimmed	24-Jul	CB	temporal	temporal	no	other	OK	2	150	150	cDNA	Jul24_CB_2_150_cDNA_AV4V5	Jul24_CB_2_150
Jul24_CB_core_2_150_DNA_AV4V5_trimmed	24-Jul	CB	temporal	temporal	no	other	OK	2	150	150	DNA	Jul24_CB_2_150_DNA_AV4V5	Jul24_CB_2_150
Jul24_CB_core_2_175_cDNA_AV4V5_trimmed	24-Jul	CB	temporal	temporal	no	other	OK	2	175	175	cDNA	Jul24_CB_2_175_cDNA_AV4V5	Jul24_CB_2_175
Jul24_CB_core_2_175_DNA_AV4V5_trimmed	24-Jul	CB	temporal	temporal	no	other	OK	2	175	175	DNA	Jul24_CB_2_175_DNA_AV4V5	Jul24_CB_2_175
Jul24_CB_core_2_20_cDNA_AV4V5_trimmed	24-Jul	CB	temporal	temporal	no	other	OK	2	20	20	cDNA	Jul24_CB_2_20_cDNA_AV4V5	Jul24_CB_2_20
Jul24_CB_core_2_20_DNA_AV4V5_trimmed	24-Jul	CB	temporal	temporal	no	other	OK	2	20	20	DNA	Jul24_CB_2_20_DNA_AV4V5	Jul24_CB_2_20
Jul24_CB_core_2_200_cDNA_AV4V5_trimmed	24-Jul	CB	temporal	temporal	no	other	OK	2	200	200	cDNA	Jul24_CB_2_200_cDNA_AV4V5	Jul24_CB_2_200
Jul24_CB_core_2_200_DNA_AV4V5_trimmed	24-Jul	CB	temporal	temporal	no	other	OK	2	200	200	DNA	Jul24_CB_2_200_DNA_AV4V5	Jul24_CB_2_200
Jul24_CB_core_2_250_cDNA_AV4V5_trimmed	24-Jul	CB	temporal	temporal	no	other	OK	2	250	250	cDNA	Jul24_CB_2_250_cDNA_AV4V5	Jul24_CB_2_250
Jul24_CB_core_2_250_DNA_AV4V5_trimmed	24-Jul	CB	temporal	temporal	no	other	OK	2	250	250	DNA	Jul24_CB_2_250_DNA_AV4V5	Jul24_CB_2_250
Jul24_CB_core_2_290_cDNA_AV4V5_trimmed	24-Jul	CB	temporal	temporal	no	other	OK	2	290	290	cDNA	Jul24_CB_2_290_cDNA_AV4V5	Jul24_CB_2_290
Jul24_CB_core_2_290_DNA_AV4V5_trimmed	24-Jul	CB	temporal	temporal	no	other	OK	2	290	290	DNA	Jul24_CB_2_290_DNA_AV4V5	Jul24_CB_2_290
Jul24_CB_core_2_30_cDNA_AV4V5_trimmed	24-Jul	CB	temporal	temporal	no	other	OK	2	30	30	cDNA	Jul24_CB_2_30_cDNA_AV4V5	Jul24_CB_2_30
Jul24_CB_core_2_30_DNA_AV4V5_trimmed	24-Jul	CB	temporal	temporal	no	other	OK	2	30	30	DNA	Jul24_CB_2_30_DNA_AV4V5	Jul24_CB_2_30
Jul24_CB_core_2_40_cDNA_AV4V5_trimmed	24-Jul	CB	temporal	temporal	no	other	OK	2	40	40	cDNA	Jul24_CB_2_40_cDNA_AV4V5	Jul24_CB_2_40
Jul24_CB_core_2_40_DNA_AV4V5_trimmed	24-Jul	CB	temporal	temporal	no	other	OK	2	40	40	DNA	Jul24_CB_2_40_DNA_AV4V5	Jul24_CB_2_40
Jul24_CB_core_2_5_cDNA_AV4V5_trimmed	24-Jul	CB	temporal	temporal	no	other	OK	2	5	5	cDNA	Jul24_CB_2_5_cDNA_AV4V5	Jul24_CB_2_5
Jul24_CB_core_2_5_DNA_AV4V5_trimmed	24-Jul	CB	temporal	temporal	no	other	OK	2	5	5	DNA	Jul24_CB_2_5_DNA_AV4V5	Jul24_CB_2_5
Jul24_CB_core_2_50_DNA_AV4V5_trimmed	24-Jul	CB	temporal	temporal	no	other	OK	2	50	50	DNA	Jul24_CB_2_50_DNA_AV4V5	Jul24_CB_2_50
Jul24_CB_core_2_75_cDNA_AV4V5_trimmed	24-Jul	CB	temporal	temporal	no	other	OK	2	75	75	cDNA	Jul24_CB_2_75_cDNA_AV4V5	Jul24_CB_2_75
Jul24_CB_core_2_75_DNA_AV4V5_trimmed	24-Jul	CB	temporal	temporal	no	other	OK	2	75	75	DNA	Jul24_CB_2_75_DNA_AV4V5	Jul24_CB_2_75
Jul24_INT_1_10_DNA_AV4V5_trimmed	24-Jul	INT	temporal	swab_v_core	yes	other	OK	1	10	10	DNA	Jul24_INT_1_10_DNA_AV4V5	Jul24_INT_1_10
Jul24_INT_1_20_DNA_AV4V5_trimmed	24-Jul	INT	temporal	temporal	no	other	OK	1	20	20	DNA	Jul24_INT_1_20_DNA_AV4V5	Jul24_INT_1_20
Jul24_INT_1_30_DNA_AV4V5_trimmed	24-Jul	INT	temporal	temporal	no	other	OK	1	30	30	DNA	Jul24_INT_1_30_DNA_AV4V5	Jul24_INT_1_30
Jul24_INT_1_5_DNA_AV4V5_trimmed	24-Jul	INT	temporal	swab_v_core	yes	other	OK	1	5	5	DNA	Jul24_INT_1_5_DNA_AV4V5	Jul24_INT_1_5
Jul24_INT_2_10_DNA_AV4V5_trimmed	24-Jul	INT	temporal	swab_v_core	yes	other	OK	2	10	10	DNA	Jul24_INT_2_10_DNA_AV4V5	Jul24_INT_2_10
Jul24_INT_2_20_DNA_AV4V5_trimmed	24-Jul	INT	temporal	temporal	no	other	OK	2	20	20	DNA	Jul24_INT_2_20_DNA_AV4V5	Jul24_INT_2_20
Jul24_INT_2_30_DNA_AV4V5_trimmed	24-Jul	INT	temporal	temporal	no	other	OK	2	30	30	DNA	Jul24_INT_2_30_DNA_AV4V5	Jul24_INT_2_30
Jul24_INT_core_1_10_cDNA_AV4V5_trimmed	24-Jul	INT	core	swab_v_core	yes	other	OK	1	10	10	cDNA	Jul24_INT_core_1_10_cDNA_AV4V5	Jul24_INT_1_10
Jul24_INT_core_1_20_cDNA_AV4V5_trimmed	24-Jul	INT	core	swab_v_core	no	other	OK	1	20	20	cDNA	Jul24_INT_core_1_20_cDNA_AV4V5	Jul24_INT_1_20
Jul24_INT_core_1_30_cDNA_AV4V5_trimmed	24-Jul	INT	core	swab_v_core	no	other	OK	1	30	30	cDNA	Jul24_INT_core_1_30_cDNA_AV4V5	Jul24_INT_1_30
Jul24_INT_core_1_5_cDNA_AV4V5_trimmed	24-Jul	INT	core	swab_v_core	yes	other	OK	1	5	5	cDNA	Jul24_INT_core_1_5_cDNA_AV4V5	Jul24_INT_1_5
Jul24_INT_core_1_75_cDNA_AV4V5_trimmed	24-Jul	INT	core	swab_v_core	no	other	OK	1	75	75	cDNA	Jul24_INT_core_1_75_cDNA_AV4V5	Jul24_INT_1_75
Jul24_INT_core_1_75_DNA_AV4V5_trimmed	24-Jul	INT	core	swab_v_core	no	other	OK	1	75	75	DNA	Jul24_INT_core_1_75_DNA_AV4V5	Jul24_INT_1_75
Jul24_INT_core_2_10_cDNA_AV4V5_trimmed	24-Jul	INT	core	swab_v_core	yes	other	OK	2	10	10	cDNA	Jul24_INT_core_2_10_cDNA_AV4V5	Jul24_INT_2_10
Jul24_INT_core_2_20_cDNA_AV4V5_trimmed	24-Jul	INT	core	swab_v_core	no	other	OK	2	20	20	cDNA	Jul24_INT_core_2_20_cDNA_AV4V5	Jul24_INT_2_20
Jul24_INT_core_2_30_cDNA_AV4V5_trimmed	24-Jul	INT	core	swab_v_core	no	other	OK	2	30	30	cDNA	Jul24_INT_core_2_30_cDNA_AV4V5	Jul24_INT_2_30
Jul24_INT_core_2_75_DNA_AV4V5_trimmed	24-Jul	INT	core	swab_v_core	no	other	OK	2	75	75	DNA	Jul24_INT_core_2_75_DNA_AV4V5	Jul24_INT_2_75
Jul24_INT_swab_1_10_cDNA_AV4V5_trimmed	24-Jul	INT	swab	swab_v_core	yes	other	OK	1	10	10	cDNA	Jul24_INT_swab_1_10_cDNA_AV4V5	Jul24_INT_swab_1_10
Jul24_INT_swab_1_10_DNA_AV4V5_trimmed	24-Jul	INT	swab	swab_v_core	yes	other	OK	1	10	10	DNA	Jul24_INT_swab_1_10_DNA_AV4V5	Jul24_INT_swab_1_10
Jul24_INT_swab_1_15_cDNA_AV4V5_trimmed	24-Jul	INT	swab	swab_v_core	no	other	OK	1	15	15	cDNA	Jul24_INT_swab_1_15_cDNA_AV4V5	Jul24_INT_swab_1_15
Jul24_INT_swab_1_15_DNA_AV4V5_trimmed	24-Jul	INT	swab	swab_v_core	no	other	OK	1	15	15	DNA	Jul24_INT_swab_1_15_DNA_AV4V5	Jul24_INT_swab_1_15
Jul24_INT_swab_1_20_cDNA_AV4V5_trimmed	24-Jul	INT	swab	swab_v_core	no	other	OK	1	20	20	cDNA	Jul24_INT_swab_1_20_cDNA_AV4V5	Jul24_INT_swab_1_20
Jul24_INT_swab_1_20_DNA_AV4V5_trimmed	24-Jul	INT	swab	swab_v_core	no	other	OK	1	20	20	DNA	Jul24_INT_swab_1_20_DNA_AV4V5	Jul24_INT_swab_1_20
Jul24_INT_swab_1_35_cDNA_AV4V5_trimmed	24-Jul	INT	swab	swab_v_core	no	other	OK	1	35	35	cDNA	Jul24_INT_swab_1_35_cDNA_AV4V5	Jul24_INT_swab_1_35
Jul24_INT_swab_1_35_DNA_AV4V5_trimmed	24-Jul	INT	swab	swab_v_core	no	other	OK	1	35	35	DNA	Jul24_INT_swab_1_35_DNA_AV4V5	Jul24_INT_swab_1_35
Jul24_INT_swab_1_5_cDNA_AV4V5_trimmed	24-Jul	INT	swab	swab_v_core	yes	other	OK	1	5	5	cDNA	Jul24_INT_swab_1_5_cDNA_AV4V5	Jul24_INT_swab_1_5
Jul24_INT_swab_1_5_DNA_AV4V5_trimmed	24-Jul	INT	swab	swab_v_core	yes	other	OK	1	5	5	DNA	Jul24_INT_swab_1_5_DNA_AV4V5	Jul24_INT_swab_1_5
Jul24_INT_swab_1_80_cDNA_AV4V5_trimmed	24-Jul	INT	swab	swab_v_core	no	other	OK	1	80	80	cDNA	Jul24_INT_swab_1_80_cDNA_AV4V5	Jul24_INT_swab_1_80
Jul24_INT_swab_1_80_DNA_AV4V5_trimmed	24-Jul	INT	swab	swab_v_core	no	other	OK	1	80	80	DNA	Jul24_INT_swab_1_80_DNA_AV4V5	Jul24_INT_swab_1_80
Jul24_INT_swab_2_10_cDNA_AV4V5_trimmed	24-Jul	INT	swab	swab_v_core	yes	other	OK	2	10	10	cDNA	Jul24_INT_swab_2_10_cDNA_AV4V5	Jul24_INT_swab_2_10
Jul24_INT_swab_2_10_DNA_AV4V5_trimmed	24-Jul	INT	swab	swab_v_core	yes	other	OK	2	10	10	DNA	Jul24_INT_swab_2_10_DNA_AV4V5	Jul24_INT_swab_2_10
Jul24_INT_swab_2_15_cDNA_AV4V5_trimmed	24-Jul	INT	swab	swab_v_core	no	other	OK	2	15	15	cDNA	Jul24_INT_swab_2_15_cDNA_AV4V5	Jul24_INT_swab_2_15
Jul24_INT_swab_2_15_DNA_AV4V5_trimmed	24-Jul	INT	swab	swab_v_core	no	other	OK	2	15	15	DNA	Jul24_INT_swab_2_15_DNA_AV4V5	Jul24_INT_swab_2_15
Jul24_INT_swab_2_20_cDNA_AV4V5_trimmed	24-Jul	INT	swab	swab_v_core	no	other	OK	2	20	20	cDNA	Jul24_INT_swab_2_20_cDNA_AV4V5	Jul24_INT_swab_2_20
Jul24_INT_swab_2_20_DNA_AV4V5_trimmed	24-Jul	INT	swab	swab_v_core	no	other	OK	2	20	20	DNA	Jul24_INT_swab_2_20_DNA_AV4V5	Jul24_INT_swab_2_20
Jul24_INT_swab_2_35_cDNA_AV4V5_trimmed	24-Jul	INT	swab	swab_v_core	no	other	OK	2	35	35	cDNA	Jul24_INT_swab_2_35_cDNA_AV4V5	Jul24_INT_swab_2_35
Jul24_INT_swab_2_35_DNA_AV4V5_trimmed	24-Jul	INT	swab	swab_v_core	no	other	OK	2	35	35	DNA	Jul24_INT_swab_2_35_DNA_AV4V5	Jul24_INT_swab_2_35
Jul24_INT_swab_2_5_cDNA_AV4V5_trimmed	24-Jul	INT	swab	swab_v_core	yes	other	OK	2	5	5	cDNA	Jul24_INT_swab_2_5_cDNA_AV4V5	Jul24_INT_swab_2_5
Jul24_INT_swab_2_80_cDNA_AV4V5_trimmed	24-Jul	INT	swab	swab_v_core	no	other	OK	2	80	80	cDNA	Jul24_INT_swab_2_80_cDNA_AV4V5	Jul24_INT_swab_2_80
Jul24_INT_swab_2_80_DNA_AV4V5_trimmed	24-Jul	INT	swab	swab_v_core	no	other	OK	2	80	80	DNA	Jul24_INT_swab_2_80_DNA_AV4V5	Jul24_INT_swab_2_80
Jun23_INT_1_10_cDNA_AV4V5_trimmed	23-Jun	INT	temporal	temporal	no	transect	OK	1	10	10	cDNA	Jun23_INT_1_10_cDNA_AV4V5	Jun23_INT_1_10
Jun23_INT_1_10_DNA_AV4V5_trimmed	23-Jun	INT	temporal	temporal	no	transect	OK	1	10	10	DNA	Jun23_INT_1_10_DNA_AV4V5	Jun23_INT_1_10
Jun23_INT_1_20_cDNA_AV4V5_trimmed	23-Jun	INT	temporal	temporal	no	transect	OK	1	20	20	cDNA	Jun23_INT_1_20_cDNA_AV4V5	Jun23_INT_1_20
Jun23_INT_1_20_DNA_AV4V5_trimmed	23-Jun	INT	temporal	temporal	no	transect	OK	1	20	20	DNA	Jun23_INT_1_20_DNA_AV4V5	Jun23_INT_1_20
Jun23_INT_1_30_cDNA_AV4V5_trimmed	23-Jun	INT	temporal	temporal	no	transect	OK	1	30	30	cDNA	Jun23_INT_1_30_cDNA_AV4V5	Jun23_INT_1_30
Jun23_INT_1_30_DNA_AV4V5_trimmed	23-Jun	INT	temporal	temporal	no	transect	OK	1	30	30	DNA	Jun23_INT_1_30_DNA_AV4V5	Jun23_INT_1_30
Jun23_INT_1_5_cDNA_AV4V5_trimmed	23-Jun	INT	temporal	temporal	no	transect	OK	1	5	5	cDNA	Jun23_INT_1_5_cDNA_AV4V5	Jun23_INT_1_5
Jun23_INT_1_5_DNA_AV4V5_trimmed	23-Jun	INT	temporal	temporal	no	transect	OK	1	5	5	DNA	Jun23_INT_1_5_DNA_AV4V5	Jun23_INT_1_5
Jun23_INT_2_10_cDNA_AV4V5_trimmed	23-Jun	INT	temporal	temporal	no	transect	OK	2	10	10	cDNA	Jun23_INT_2_10_cDNA_AV4V5	Jun23_INT_2_10
Jun23_INT_2_10_DNA_AV4V5_trimmed	23-Jun	INT	temporal	temporal	no	transect	OK	2	10	10	DNA	Jun23_INT_2_10_DNA_AV4V5	Jun23_INT_2_10
Jun23_INT_2_20_cDNA_AV4V5_trimmed	23-Jun	INT	temporal	temporal	no	transect	OK	2	20	20	cDNA	Jun23_INT_2_20_cDNA_AV4V5	Jun23_INT_2_20
Jun23_INT_2_20_DNA_AV4V5_trimmed	23-Jun	INT	temporal	temporal	no	transect	OK	2	20	20	DNA	Jun23_INT_2_20_DNA_AV4V5	Jun23_INT_2_20
Jun23_INT_2_30_cDNA_AV4V5_trimmed	23-Jun	INT	temporal	temporal	no	transect	OK	2	30	30	cDNA	Jun23_INT_2_30_cDNA_AV4V5	Jun23_INT_2_30
Jun23_INT_2_30_DNA_AV4V5_trimmed	23-Jun	INT	temporal	temporal	no	transect	OK	2	30	30	DNA	Jun23_INT_2_30_DNA_AV4V5	Jun23_INT_2_30
Jun23_INT_2_5_cDNA_AV4V5_trimmed	23-Jun	INT	temporal	temporal	no	transect	OK	2	5	5	cDNA	Jun23_INT_2_5_cDNA_AV4V5	Jun23_INT_2_5
Jun23_INT_2_5_DNA_AV4V5_trimmed	23-Jun	INT	temporal	temporal	no	transect	OK	2	5	5	DNA	Jun23_INT_2_5_DNA_AV4V5	Jun23_INT_2_5
Jun23_INT_3_10_cDNA_AV4V5_trimmed	23-Jun	INT	temporal	temporal	no	transect	OK	3	10	10	cDNA	Jun23_INT_3_10_cDNA_AV4V5	Jun23_INT_3_10
Jun23_INT_3_10_DNA_AV4V5_trimmed	23-Jun	INT	temporal	temporal	no	transect	OK	3	10	10	DNA	Jun23_INT_3_10_DNA_AV4V5	Jun23_INT_3_10
Jun23_INT_3_20_cDNA_AV4V5_trimmed	23-Jun	INT	temporal	temporal	no	transect	OK	3	20	20	cDNA	Jun23_INT_3_20_cDNA_AV4V5	Jun23_INT_3_20
Jun23_INT_3_20_DNA_AV4V5_trimmed	23-Jun	INT	temporal	temporal	no	transect	OK	3	20	20	DNA	Jun23_INT_3_20_DNA_AV4V5	Jun23_INT_3_20
Jun23_INT_3_30_cDNA_AV4V5_trimmed	23-Jun	INT	temporal	temporal	no	transect	OK	3	30	30	cDNA	Jun23_INT_3_30_cDNA_AV4V5	Jun23_INT_3_30
Jun23_INT_3_30_DNA_AV4V5_trimmed	23-Jun	INT	temporal	temporal	no	transect	OK	3	30	30	DNA	Jun23_INT_3_30_DNA_AV4V5	Jun23_INT_3_30
Jun23_INT_3_5_cDNA_AV4V5_trimmed	23-Jun	INT	temporal	temporal	no	transect	OK	3	5	5	cDNA	Jun23_INT_3_5_cDNA_AV4V5	Jun23_INT_3_5
Jun23_INT_3_5_DNA_AV4V5_trimmed	23-Jun	INT	temporal	temporal	no	transect	OK	3	5	5	DNA	Jun23_INT_3_5_DNA_AV4V5	Jun23_INT_3_5
Jun23_INT_4_10_cDNA_AV4V5_trimmed	23-Jun	INT	temporal	temporal	no	transect	OK	4	10	10	cDNA	Jun23_INT_4_10_cDNA_AV4V5	Jun23_INT_4_10
Jun23_INT_4_10_DNA_AV4V5_trimmed	23-Jun	INT	temporal	temporal	no	transect	OK	4	10	10	DNA	Jun23_INT_4_10_DNA_AV4V5	Jun23_INT_4_10
Jun23_INT_4_20_cDNA_AV4V5_trimmed	23-Jun	INT	temporal	temporal	no	transect	OK	4	20	20	cDNA	Jun23_INT_4_20_cDNA_AV4V5	Jun23_INT_4_20
Jun23_INT_4_20_DNA_AV4V5_trimmed	23-Jun	INT	temporal	temporal	no	transect	OK	4	20	20	DNA	Jun23_INT_4_20_DNA_AV4V5	Jun23_INT_4_20
Jun23_INT_4_30_cDNA_AV4V5_trimmed	23-Jun	INT	temporal	temporal	no	transect	OK	4	30	30	cDNA	Jun23_INT_4_30_cDNA_AV4V5	Jun23_INT_4_30
Jun23_INT_4_30_DNA_AV4V5_trimmed	23-Jun	INT	temporal	temporal	no	transect	OK	4	30	30	DNA	Jun23_INT_4_30_DNA_AV4V5	Jun23_INT_4_30
Jun23_INT_4_5_cDNA_AV4V5_trimmed	23-Jun	INT	temporal	temporal	no	transect	OK	4	5	5	cDNA	Jun23_INT_4_5_cDNA_AV4V5	Jun23_INT_4_5
Jun23_INT_4_5_DNA_AV4V5_trimmed	23-Jun	INT	temporal	temporal	no	transect	OK	4	5	5	DNA	Jun23_INT_4_5_DNA_AV4V5	Jun23_INT_4_5
SED1_AV4V5_trimmed	23-Aug	SED1	transect	transect	no	transect	OK	1	54	10	DNA	board19	board19
SED10_AV4V5_trimmed	23-Aug	SED10	transect	transect	no	transect	OK	1	0	10	DNA	board1	board1
SED11_AV4V5_trimmed	23-Aug	SED11	transect	transect	no	transect	OK	1	3	10	DNA	board2	board2
SED12_AV4V5_trimmed	23-Aug	SED12	transect	transect	no	transect	OK	1	9	10	DNA	board4	board4
SED2_AV4V5_trimmed	23-Aug	SED2	transect	transect	no	transect	OK	1	48	10	DNA	board17	board17
SED3_AV4V5_trimmed	23-Aug	SED3	transect	transect	no	transect	OK	1	42	10	DNA	board15	board15
SED4_AV4V5_trimmed	23-Aug	SED4	transect	transect	no	transect	OK	1	36	10	DNA	board13	board13
SED5_AV4V5_trimmed	23-Aug	SED5	transect	transect	no	transect	OK	1	30	10	DNA	board11	board11
SED6_AV4V5_trimmed	23-Aug	SED6	transect	transect	no	transect	OK	1	24	10	DNA	board9	board9
SED7_AV4V5_trimmed	23-Aug	SED7	transect	transect	no	transect	OK	1	18	10	DNA	board7	board7
SED8_AV4V5_trimmed	23-Aug	SED8	transect	transect	no	transect	OK	1	6	10	DNA	board3	board3
Sep22_INT_1_10_DNA_AV4V5_trimmed	22-Sep	INT	temporal	temporal	no	other	OK	1	10	10	DNA	Sep22_INT_1_10_DNA_AV4V5	Sep22_INT_1_10
Sep22_INT_1_20_DNA_AV4V5_trimmed	22-Sep	INT	temporal	temporal	no	other	OK	1	20	20	DNA	Sep22_INT_1_20_DNA_AV4V5	Sep22_INT_1_20
Sep22_INT_1_30_DNA_AV4V5_trimmed	22-Sep	INT	temporal	temporal	no	other	OK	1	30	30	DNA	Sep22_INT_1_30_DNA_AV4V5	Sep22_INT_1_30
Sep22_INT_1_5_DNA_AV4V5_trimmed	22-Sep	INT	temporal	temporal	no	other	OK	1	5	5	DNA	Sep22_INT_1_5_DNA_AV4V5	Sep22_INT_1_5
Sep22_INT_2_10_DNA_AV4V5_trimmed	22-Sep	INT	temporal	temporal	no	other	OK	2	10	10	DNA	Sep22_INT_2_10_DNA_AV4V5	Sep22_INT_2_10
Sep22_INT_2_20_DNA_AV4V5_trimmed	22-Sep	INT	temporal	temporal	no	other	OK	2	20	20	DNA	Sep22_INT_2_20_DNA_AV4V5	Sep22_INT_2_20
Sep22_INT_2_30_DNA_AV4V5_trimmed	22-Sep	INT	temporal	temporal	no	other	OK	2	30	30	DNA	Sep22_INT_2_30_DNA_AV4V5	Sep22_INT_2_30
